,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh,city,state,aqi,pm10,co,o3,so2,no2
243,p. e. de malpica,WRI1006779,16.575,43.3228,-8.8105,wind,76.04186108254284,A Coruña,Galicia,30.0,0.800617,382.185,64.0,1.3,5.04986
244,p. e. de montouto,WRI1006780,20.46,43.3,-7.6833,wind,93.86524752632437,Lugo,Galicia,27.0,0.12154100000000001,100.0,57.9357,0.41536999999999996,1.0
245,p. e. de paxareiras ii b (adrano),WRI1006781,21.6,42.8233,-9.0891,wind,99.0952759808703,A Coruña,Galicia,24.0,18.0,110.0,52.0,1.0,6.0
246,p. e. el cayo,WRI1006788,24.75,41.992,-2.3283,wind,113.5466703947472,Soria,Castilla y León,22.0,4.1518,330.0,46.6667,2.825,6.433330000000001
247,p. e. el hierro,WRI1006791,38.4,41.6698,-5.931,wind,176.1693795215472,Zamora,Castilla y León,34.0,0.0761773,309.587,73.1,2.0,5.115
248,p. e. el perdon,WRI1006792,20.0,42.7485,-1.7226,wind,91.7548851674725,Navarra,Navarra,23.0,8.0,150.0,49.0,3.1,5.3
249,p. e. el pilar,WRI1006794,15.0,41.5801,-1.1172,wind,68.81616387560436,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
250,p. e. el redondal (2 fase 28/3/05),WRI1006797,30.6,42.5794,-6.4684,wind,140.38497430623295,León,Castilla y León,28.0,10.0,308.335,59.9921,2.0,2.5329599999999997
251,p. e. el sardon,WRI1006798,25.5,36.7702,-2.9543,wind,116.98747858852744,Almería,Andalucía,31.0,33.66,234.667,39.0,3.0,28.0
252,p. e. entredicho,WRI1006800,36.0,41.3424,-0.9599,wind,165.1587933014505,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
253,p. e. escalon,WRI1006801,30.0,40.1669,-4.4048,wind,137.63232775120878,Toledo,Castilla-La Mancha,14.0,6.95292,700.0,30.756,0.148546,14.0
254,p. e. fuendetodos ii (unificado),WRI1006802,47.2,41.3424,-0.9599,wind,216.5415289952351,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
255,p. e. la cabana,WRI1006806,41.65,39.234,-3.8525,wind,191.07954836126143,Ciudad Real,Castilla-La Mancha,25.0,27.0,320.85200000000003,16.0,4.0,40.0
256,p. e. la cuerda,WRI1006808,31.02,38.8346,-1.4603,wind,142.31182689474986,Albacete,Castilla-La Mancha,69.0,4.9294,366.33,40.7249,362.5,5.060569999999999
257,p. e. la muela norte (unificado),WRI1006810,29.75,41.5801,-1.1172,wind,136.48539168661534,Zaragoza,Aragón,8.0,4.01,216.0,16.7675,3.975,32.122
258,p. e. la muneca,WRI1006811,40.5,39.2167,-2.15,wind,185.80364246413185,Albacete,Castilla-La Mancha,37.0,23.0,310.0,28.0,2.0,27.0
